Participant;Category;Device;Order;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Point1;Point1;Point1;Point1;Point1;Point1;Point1;Point1;Point2;Point2;Point2;Point2;Point2;Point2;Point2;Point2;Point3;Point3;Point3;Point3;Point3;Point3;Point3;Point3;Point4;Point4;Point4;Point4;Point4;Point4;Point4;Point4
;;;;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out
P06;03-Advanced;Desktop;Smartphone-Desktop;;1;1;;5;;;;;1;1;1;1;;1;;;1;1;6;4;;3;2;;1;1;6;30;;;;1;1;4;6;;;;1;1;6;;;3;2;;;;6;;;2;1;;1;1;4;;;2;1;;2;2;3;;;2;1
P07;03-Advanced;Desktop;Desktop-Smartphone;;;1;1;2;;1;;;;1;1;2;;1;;;;1;2;26;;1;1;;1;;11;28;;;;1;;3;4;;;5;;1;1;;;1;;5;;1;2;;;2;;5;;1;4;;;2;1;4;;1;1;;;1;
P20;03-Advanced;Desktop;Smartphone-Desktop;;;1;6;3;;2;1;;1;2;1;3;;1;;;;1;18;15;;6;5;;1;;8;8;;;;1;;19;13;;;5;1;1;3;;;2;;5;1;1;9;;;4;2;5;1;1;2;;;1;;6;1;2;4;;2;1;1
P21;03-Advanced;Desktop;Desktop-Smartphone;;;1;4;;;1;2;;;1;;;;;;;;1;2;;;1;1;;1;1;;4;;;;1;;;13;;;;;1;8;;;3;;;;1;8;;;4;2;;;;11;;;2;1;;;;4;;;2;1
P30;01-Beginner;Smartphone;Smartphone-Desktop;;;1;5;4;;4;;;1;1;24;7;;7;3;;1;1;7;;;2;;;;33;7;;3;2;;;30;7;;4;2;;1;1;7;6;;4;;;;;13;;;3;;;;;8;;;2;1;;1;1;13;;;2;
P31;01-Beginner;Smartphone;Desktop-Smartphone;;;1;9;2;;2;;1;1;1;9;5;;2;;;;;6;2;;2;;;;8;3;;1;;;1;6;1;1;2;;;1;1;3;;;2;;;;;9;1;;3;;;1;1;23;1;;3;1;6;2;2;32;;2;3;1
P32;01-Beginner;Smartphone;Smartphone-Desktop;;;1;5;3;;2;;;;2;9;;;1;1;;;1;3;;;3;;;1;32;5;;2;1;;1;40;12;1;;;5;;1;7;;;2;;5;;1;5;;;2;1;5;;1;3;;;1;;5;;1;3;;;1;
P33;01-Beginner;Smartphone;Desktop-Smartphone;;3;1;4;3;;1;;5;6;6;13;3;5;5;2;;1;1;6;;;1;;3;3;32;10;12;2;1;;1;7;1;5;;;6;1;1;4;;1;2;;6;1;1;6;;1;2;;6;1;1;3;;1;1;;4;1;1;5;;;1;
P34;01-Beginner;Smartphone;Smartphone-Desktop;;;;;;;;;;;;5;5;;;;;;;13;9;;;;;;18;8;;;;;;10;8;;;;;;;3;1;;2;;;;;15;2;;2;1;;;;16;;;3;1;;;;33;6;;5;2
P35;01-Beginner;Smartphone;Desktop-Smartphone;;;1;9;4;;2;;;2;2;20;;;4;1;;3;3;70;13;;4;4;;;8;2;;1;;;;19;7;;1;;;1;1;4;;;2;;;;;8;1;;2;;;;;17;;;2;;;2;1;17;;;2;
